SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
AL,CAMPESTRE,8382.0,67.96,3.82,17.32,10.57
MG,POMPÉU,36934.0,50.91,9.04,12.08,10.56
PB,PITIMBU,19728.0,63.61,10.81,10.29,10.55
RS,CERRITO,8754.0,50.44,6.47,14.62,10.54
BA,ABAÍRA,10920.0,56.52,19.29,1.79,10.54
PE,ALIANÇA,44172.0,67.14,14.51,6.56,10.54
PI,ELISEU MARTINS,5784.0,75.69,11.24,9.82,10.53
BA,WENCESLAU GUIMARÃES,25310.0,67.11,3.6,17.46,10.53
MG,CORONEL XAVIER CHAVES,4854.0,62.54,6.55,14.5,10.53
MA,SÃO PEDRO DA ÁGUA BRANCA,14144.0,58.64,3.15,17.86,10.51
AC,PORTO WALTER,11310.0,50.24,15.79,5.18,10.49
BA,BOQUIRA,24768.0,87.41,8.38,12.56,10.47
MG,PIRACEMA,9768.0,56.12,7.47,13.47,10.47
PB,ITATUBA,13926.0,65.52,19.14,1.78,10.46
SE,PACATUBA,17370.0,76.17,7.28,13.62,10.45
MG,CARMO DA MATA,15750.0,59.37,13.07,7.82,10.44
RN,SEVERIANO MELO,11158.0,83.01,12.03,8.85,10.44
PI,JUREMA,7750.0,83.12,18.09,2.76,10.43
AM,JURUÁ,10648.0,56.04,1.8,19.06,10.43
BA,VALENTE,32868.0,61.99,18.01,2.86,10.43
PB,AROEIRAS,25654.0,76.91,4.8,16.04,10.42
PI,BARRO DURO,9132.0,72.88,14.08,6.75,10.41
RS,CRISTAL DO SUL,4266.0,55.14,13.83,6.99,10.41
BA,ITANHÉM,22824.0,56.8,9.95,10.85,10.4
RS,SÃO JOSÉ DAS MISSÕES,3694.0,65.57,5.85,14.94,10.4
MG,FREI LAGONEGRO,5252.0,52.92,2.93,17.86,10.4
MG,MARIANA,81736.0,64.94,9.57,11.2,10.39
PI,SOCORRO DO PIAUÍ,6744.0,78.89,19.81,0.98,10.39
MA,CAMPESTRE DO MARANHÃO,14904.0,63.98,4.21,16.55,10.38
AL,PORTO REAL DO COLÉGIO,25362.0,77.51,1.85,18.92,10.38
BA,SERRA DOURADA,22582.0,57.59,15.16,5.59,10.38
MG,PAINEIRAS,6516.0,63.33,14.58,6.14,10.36
CE,ACOPIARA,61944.0,80.45,18.04,2.66,10.35
SP,ESTRELA DO NORTE,3712.0,55.17,2.67,18.16,10.34
MG,DORES DO TURVO,7954.0,59.05,2.69,17.95,10.32
TO,SANTA ROSA DO TOCANTINS,6726.0,63.57,11.03,9.6,10.32
MG,VIRGINÓPOLIS,12076.0,64.1,6.41,14.21,10.31
PB,JACARAÚ,21098.0,67.24,5.81,14.8,10.3
RS,PANTANO GRANDE,13354.0,53.0,6.84,13.73,10.29
TO,ITAGUATINS,7094.0,59.8,6.96,13.59,10.28
CE,BATURITÉ,44736.0,72.83,11.61,8.96,10.28
MG,SANTA RITA DE JACUTINGA,6892.0,65.74,9.26,11.29,10.27
